ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1569242609000,1569243304863,695863,2.092053535,1.5833334,1100.79,58.71
1001,1569255840000,1569256564966,724966,1.852738969,1.5555556,1015.64,55.27
1001,1569275131696,1569275688995,557299,2.229808997,2.3966665,1138,51
1001,1569283770142,1569284270454,500312,2.299260233,2.5,1049,46
1001,1569334533542,1569335174898,641356,2.105245745,2.4266665,1231,57
1001,1569340145593,1569340712033,566440,2.21476741,2.5,1145,51
1001,1569345331486,1569346020910,689424,2.488714932,2.5,1289,62
1001,1569350891774,1569351525133,633359,2.142486312,2.4133332,1243,58
1001,1569356126333,1569356704650,578317,2.144598405,2.4933333,1121,53
1001,1569359012530,1569359521850,509320,2.218777285,2.4633334,1023,47
1001,1569366962003,1569367556464,594461,2.213110703,2.5,1199,51
1001,1569372300000,1569373155931,855931,1.807645268,1.4803332,1169.9299,60.66
1001,1569415601110,1569416240518,639408,2.41754889,2.48,1164,57
1001,1569421445000,1569422703797,1258797,1.789881993,1.4166666,1703.68,90.88
1001,1569448168325,1569448725634,557309,2.167609069,2.5,1081,56
1001,1569455990422,1569456436691,446269,2.378067915,2.4850001,967,40
1001,1569503458668,1569504101028,642360,2.089483344,2.4133332,1242,58
1001,1569512787084,1569513304857,517773,2.160254124,2.3733332,1030,47
1001,1569518149617,1569518831935,682318,2.428925337,2.48,1250,60
1001,1569523602507,1569524197759,595252,2.253109772,2.5,1187,55
1001,1569588405972,1569589024306,618334,2.403655217,2.38,1121,54
1001,1569847501365,1569848190684,689319,2.162331261,2.48,1118,61
1001,1569853091451,1569853732759,641308,2.16245412,2.2166665,1048,57
1001,1569880136491,1569880625850,489359,2.322100008,2.5,1049,50
1001,1569888270159,1569888686433,416274,2.433322728,2.5,930,44
1001,1569938207596,1569938828916,621320,2.189577636,2.5,1252,59
1001,1569955627205,1569956228806,601601,2.156933772,2.5,1200,56
1001,1569960953548,1569961514833,561285,2.18656908,2.5,1133,53
1001,1570020289245,1570020844580,555335,2.114709876,2.5,1084,52
1001,1570034460000,1570035134754,674754,1.541954016,1.5555556,963.37,51.14
1001,1570052895198,1570053381413,486215,2.3289282,2.5,1043,48
1001,1570059594646,1570059939072,344426,2.48130324,2.5,790,38
1001,1570112123687,1570112730653,606966,1.9033031,2.46,1153,56
1001,1570117436022,1570117980303,544281,2.0315838,2.4533331,1105,53
1001,1570123031930,1570123644281,612351,2.1146524,2.5,1287,60
1001,1570128530264,1570129080755,550491,2.0102773,2.5,1103,54
1001,1570138648327,1570139122595,474268,1.9589955,2.5,926,44
1001,1570143206940,1570143791204,584264,1.7502314,2.45,1022,50
1001,1570193250551,1570193813521,562970,1.9074154,2.4733334,1068,52
1001,1570198695039,1570199230328,535289,1.9880588,2.5,1061,51
1001,1570452369782,1570452947197,577415,2.0055194,2.5,1157,54
1001,1570467312000,1570468234855,922855,1.3743546,1.4722222,1268.33,65.26
1001,1570484908384,1570485402643,494259,2.1206563,2.43,1043,47
1001,1570492193480,1570492577796,384316,2.397784,2.5,920,74
1001,1570544279123,1570544886433,607310,1.9889945,2.4266665,1203,55
1001,1570549571461,1570550079366,507905,1.9945885,2.5,1007,46
1001,1570554979135,1570555581467,602332,2.0657897,2.5,1243,58
1001,1570560525744,1570561126047,600303,1.9499903,2.5,1164,54
1001,1570565795153,1570566380029,584876,1.9550607,2.5,1139,55
1001,1570569471028,1570569946829,475801,2.085947,2.5,986,45
1001,1570625367173,1570625916511,549338,1.9892704,2.4266665,1092,51
1001,1570632009874,1570632550126,540252,1.9163262,2.3066666,1029,47
1001,1570657602679,1570658071949,469270,2.2207067,2.5,1039,45
1001,1570663563616,1570663977018,413402,2.2435706,2.5,926,50
1001,1570717039208,1570717596866,557658,1.947756,2.4399998,1082,51
1001,1570722484497,1570723083814,599317,1.7095395,2.2766666,1024,51
1001,1570727828983,1570728482652,653669,1.8126352,2.5,1183,58
1001,1570733201080,1570733756208,555128,2.0384784,2.5,1131,53
1001,1570797492714,1570798069026,576312,1.8999884,2.4533331,1094,52
1001,1570804235359,1570804764619,529260,1.9464183,2.43,1027,51
1001,1571057148736,1571057686052,537316,2.023705,2.39,1084,49
1001,1571063011028,1571063440268,429240,2.0041726,2.5,859,42
1001,1571089583408,1571090051632,468224,2.1887558,2.5,1024,45
1001,1571097631408,1571098040600,409192,2.3205435,2.5,946,53
1001,1571149025440,1571149555770,530330,2.0381927,2.49,1076,51
1001,1571154542595,1571155012994,470399,2.159537,2.5,1010,48
1001,1571159851856,1571160477177,625321,2.0411406,2.5,1275,58
1001,1571165553847,1571166073053,519206,2.0856483,2.5,1082,50
1001,1571170559965,1571171128255,568290,1.9884756,2.4766667,1129,53
1001,1571174443367,1571174929641,486274,2.1088448,2.5,1022,48
1001,1571230015859,1571230583140,567281,1.9361241,2.3366668,1091,51
1001,1571235858285,1571236386519,528234,2.020364,2.5,1066,50
1001,1571262496289,1571262943165,446876,2.2646585,2.5,1010,63
1001,1571270429199,1571270698193,268994,2.407615,2.5,642,48
1001,1571332646008,1571333222371,576363,2.0608733,2.5,1180,57
1001,1571338070076,1571338599810,529734,2.0468097,2.5,1076,50
1001,1571402896264,1571403442529,546265,2.0218759,2.45,1101,51
1001,1571414153898,1571414690174,536276,1.9706725,2.5,1050,49
1001,1571420970077,1571421452992,482915,1.9893354,2.5,954,45
